version,entity_name,entity_kind,attributes
9.1,pg_aggregate,Table,"{""(aggfnoid,regproc)"",""(aggtransfn,regproc)"",""(aggfinalfn,regproc)"",""(aggsortop,oid)"",""(aggtranstype,oid)"",""(agginitval,text)""}"
9.1,pg_am,Table,"{""(oid,oid)"",""(amname,name)"",""(amstrategies,smallint)"",""(amsupport,smallint)"",""(amcanorder,boolean)"",""(amcanorderbyop,boolean)"",""(amcanbackward,boolean)"",""(amcanunique,boolean)"",""(amcanmulticol,boolean)"",""(amoptionalkey,boolean)"",""(amsearchnulls,boolean)"",""(amstorage,boolean)"",""(amclusterable,boolean)"",""(ampredlocks,boolean)"",""(amkeytype,oid)"",""(aminsert,regproc)"",""(ambeginscan,regproc)"",""(amgettuple,regproc)"",""(amgetbitmap,regproc)"",""(amrescan,regproc)"",""(amendscan,regproc)"",""(ammarkpos,regproc)"",""(amrestrpos,regproc)"",""(ambuild,regproc)"",""(ambuildempty,regproc)"",""(ambulkdelete,regproc)"",""(amvacuumcleanup,regproc)"",""(amcostestimate,regproc)"",""(amoptions,regproc)""}"
9.1,pg_amop,Table,"{""(oid,oid)"",""(amopfamily,oid)"",""(amoplefttype,oid)"",""(amoprighttype,oid)"",""(amopstrategy,smallint)"",""(amoppurpose,\""\""\""char\""\""\"")"",""(amopopr,oid)"",""(amopmethod,oid)"",""(amopsortfamily,oid)""}"
9.1,pg_amproc,Table,"{""(oid,oid)"",""(amprocfamily,oid)"",""(amproclefttype,oid)"",""(amprocrighttype,oid)"",""(amprocnum,smallint)"",""(amproc,regproc)""}"
9.1,pg_attrdef,Table,"{""(oid,oid)"",""(adrelid,oid)"",""(adnum,smallint)"",""(adbin,pg_node_tree)"",""(adsrc,text)""}"
9.1,pg_attribute,Table,"{""(attrelid,oid)"",""(attname,name)"",""(atttypid,oid)"",""(attstattarget,integer)"",""(attlen,smallint)"",""(attnum,smallint)"",""(attndims,integer)"",""(attcacheoff,integer)"",""(atttypmod,integer)"",""(attbyval,boolean)"",""(attstorage,\""\""\""char\""\""\"")"",""(attalign,\""\""\""char\""\""\"")"",""(attnotnull,boolean)"",""(atthasdef,boolean)"",""(attisdropped,boolean)"",""(attislocal,boolean)"",""(attinhcount,integer)"",""(attcollation,oid)"",""(attacl,aclitem[])"",""(attoptions,text[])""}"
9.1,pg_auth_members,Table,"{""(roleid,oid)"",""(member,oid)"",""(grantor,oid)"",""(admin_option,boolean)""}"
9.1,pg_authid,Table,"{""(oid,oid)"",""(rolname,name)"",""(rolsuper,boolean)"",""(rolinherit,boolean)"",""(rolcreaterole,boolean)"",""(rolcreatedb,boolean)"",""(rolcatupdate,boolean)"",""(rolcanlogin,boolean)"",""(rolreplication,boolean)"",""(rolconnlimit,integer)"",""(rolpassword,text)"",""(rolvaliduntil,\""timestamp with time zone\"")""}"
9.1,pg_cast,Table,"{""(oid,oid)"",""(castsource,oid)"",""(casttarget,oid)"",""(castfunc,oid)"",""(castcontext,\""\""\""char\""\""\"")"",""(castmethod,\""\""\""char\""\""\"")""}"
9.1,pg_class,Table,"{""(oid,oid)"",""(relname,name)"",""(relnamespace,oid)"",""(reltype,oid)"",""(reloftype,oid)"",""(relowner,oid)"",""(relam,oid)"",""(relfilenode,oid)"",""(reltablespace,oid)"",""(relpages,integer)"",""(reltuples,real)"",""(reltoastrelid,oid)"",""(reltoastidxid,oid)"",""(relhasindex,boolean)"",""(relisshared,boolean)"",""(relpersistence,\""\""\""char\""\""\"")"",""(relkind,\""\""\""char\""\""\"")"",""(relnatts,smallint)"",""(relchecks,smallint)"",""(relhasoids,boolean)"",""(relhaspkey,boolean)"",""(relhasrules,boolean)"",""(relhastriggers,boolean)"",""(relhassubclass,boolean)"",""(relfrozenxid,xid)"",""(relacl,aclitem[])"",""(reloptions,text[])""}"
